"title","word1","word2","word3","original","ad","img"
"Gossip Girl","soapy","teen","drama","no","yes","gossip_girl"
"Money Heist","exciting","suspenseful","thriller","yes","yes","money_heist"
"Lucifer","slick","irreverent","exciting","yes","yes","lucifer"
"The Stranger","slow burn","suspenseful","mystery","yes","yes","the_stranger"
"Shameless","raunchy","irreverent","dramedy","no","yes","shameless"
"Ozark","ominous","slow burn","dark","yes","yes","ozark"
"Virgin River","heartfelt","intimate","emotional","yes","yes","virgin_river"
"Mr. Right","quirky","forceful","exciting","no","yes",NA
"Legacies","campy","slick","fantasy tv","no","yes",NA
"Grey's Anatomy","soapy","emotional","romantic","no","yes",NA
"That 70's Show","goofy","sitcom","comedy","no","yes",NA
"I am not okay with this","cynical","irreverent","dark comedy","yes","yes",NA
"Derry Girls","witty","quirky","irreverent","yes","yes",NA
"Unorthodox","intimate","emotional","drama","yes","yes",NA
"All American","inspiring","teen","drama","no","yes",NA
"Feel Good","witty","irreverent","intimate","yes","yes",NA
"Anne with an ""E""","heartfelt","emotional","teen","yes","yes",NA
"Kim's Convenience","sitcom","comedy","ensemble","no","yes",NA
"Arrested Development","deadpan","witty","quirky","no","yes",NA
"Tiger King","riveting","provocative","investigative","yes","yes",NA
"Taylor Tomlinson Quarter-Lie Crisis","witty","irreverent","stand-up","yes","yes",NA
"Young & Hungry","sitcom","comedy","opposites-attract","no","yes",NA
"100 Humans","provocative","witty","quirky","yes","yes",NA
"Good Girls","witty","irreverent","suspenseful","no","yes",NA
"the Big Show show","feel-good","goofy","sitcom","yes","yes",NA
"Locke & Key","mind-bending","witty","irreverent","yes","yes",NA
"Life As We Know It","heartfelt","romantic","dramedy","no","yes",NA
"Love is Blind","romantic","reality tv","wedding & romances","yes","yes",NA
"Once Upon a Time","exciting","fantasy tv","drama","no","yes",NA
"The Perks of Being a Wallflower","heartfelt","dramedy","hidden gem","no","yes",NA
"The Invention of Lying","irreverent","romantic","comedy","no","yes",NA
"Parks & Recreation","witty","quirky","goofy","no","yes",NA
"Merlin","exciting","suspenseful","fantasy tv","no","yes",NA
"Royal Pains","dramedy","comedy","drama","no","yes",NA
"Love Wedding Repeat","heartfelt","witty","romantic","yes","yes",NA
"The Circle","scandalous","soapy","reality tv","yes","yes",NA
"Community","witty","irreverent","sitcom","no","yes",NA
"The Great British Baking Show","relaxing","feel-good","reality tv","yes","yes",NA
"Altered Carbon","mind-bending","dystopian","violent","yes","yes",NA
"Code 8","dystopian","gritty","exciting","no","yes",NA
"Outer Banks","soapy","exciting","teen","yes","yes",NA
"Brews Brothers","raunchy","irreverent","sitcom","yes","yes",NA
"Nailed It!","quirky","reality tv","competition","yes","yes",NA
"#blackAF","slick","witty","irreverent","yes","no",NA
"On My Block","witty","emotional","romantic","yes","no",NA
"The Office","witty","irreverent","sitcom","no","no",NA
"Stranger Things","ominous","scary","exciting","yes","no",NA
"The Vampire Diaries","ominous","suspenseful","fantasy tv","no","no",NA
"Criminal Minds","forceful","dark","suspenseful","no","no",NA
"Miracle in Cell No. 7","rousing","emotional","social issue drama","no","no",NA
"Spenser Confidential","forceful","exciting","film noir","yes","no",NA
"Breaking Bad","violent","slow burn","gritty","no","no",NA
"Elite","soapy","slow burn","suspenseful","yes","no",NA
"The Flash","slick","exciting","superhero","no","no",NA
"Fuller House","heartfelt","sitcom","comedy","yes","no",NA
"Schitt's Creek","witty","irreverent","sitcom","no","no",NA
"Victorious","feel-good","sitcom","comedy","no","no",NA
"The King: Eternal Monarch","emotional","romantic","fantasy tv","yes","no",NA
"Too Hot to Handle","scandalous","soapy","intimate","yes","no",NA
"The Witcher","lavish","exciting","fantasy tv","yes","no",NA
"The 100","dystopian","violent","sci-fi tv","no","no",NA
"Locked Up","violent","slow burn","gritty","yes","no",NA
"Crash Landing On You","heartfelt","romantic","dramedy","yes","no",NA
"6 Underground","slick","exciting","action thriller","yes","no",NA
"The Seven Deadly Sins","exciting","fantasy anime","action anime","yes","no",NA
"Bunk'd","goofy","sitcom","comedy","no","no",NA
"Naruto","goofy","exciting","fantasy anime","no","no",NA
"The Crown","lavish","intimate","drama","yes","no",NA
"Angel has Fallen","violent","forceful","exciting","no","no",NA
"Grace and Frankie","heartfelt","witty","quirky","yes","no",NA
"Itaewon Class","inspiring","emotional","drama","yes","no",NA
"Hi Bye, Mama!","heartfelt","emotional","romantic","yes","no",NA
"El señor de los Cielos","soapy","telenovela","soap opera","no","no",NA
"Sex Education","heartfelt","raunchy","irreverent","yes","no",NA
"Sacred Games","slow burn","gritty","dark","yes","no",NA
"Hospital Playlist","heartfelt","dramedy","comedy","yes","no",NA
"Riverdale","offbeat","emotional","dark","no","no",NA
