title,word1,word2,word3,original,ad,img
Gossip Girl,soapy,teen,drama,no,yes,gossip_girl
Money Heist,exciting,suspenseful,thriller,yes,yes,money_heist
Lucifer,slick,irreverent,exciting,yes,yes,lucifer
The Stranger,slow burn,suspenseful,mystery,yes,yes,the_stranger
Shameless,raunchy,irreverent,dramedy,no,yes,shameless
Ozark,ominous,slow burn,dark,yes,yes,ozark
Virgin River,heartfelt,intimate,emotional,yes,yes,virgin_river
Mr. Right,quirky,forceful,exciting,no,yes,
Legacies,campy,slick,fantasy tv,no,yes,
Grey's Anatomy,soapy,emotional,romantic,no,yes,
That 70's Show,goofy,sitcom,comedy,no,yes,
I am not okay with this,cynical,irreverent,dark comedy,yes,yes,
Derry Girls,witty,quirky,irreverent,yes,yes,
Unorthodox,intimate,emotional,drama,yes,yes,
All American,inspiring,teen,drama,no,yes,
Feel Good,witty,irreverent,intimate,yes,yes,
"Anne with an ""E""",heartfelt,emotional,teen,yes,yes,
Kim's Convenience,sitcom,comedy,ensemble,no,yes,
Hop,children & family,comedy,animals,no,yes,
Arrested Development,deadpan,witty,quirky,no,yes,
Tiger King,riveting,provocative,investigative,yes,yes,
Taylor Tomlinson Quarter-Lie Crisis,witty,irreverent,stand-up,yes,yes,
Young & Hungry,sitcom,comedy,opposites-attract,no,yes,
100 Humans,provocative,witty,quirky,yes,yes,
Good Girls,witty,irreverent,suspenseful,no,yes,
the Big Show show,feel-good,goofy,sitcom,yes,yes,
Locke & Key,mind-bending,witty,irreverent,yes,yes,
Life As We Know It,heartfelt,romantic,dramedy,no,yes,
Love is Blind,romantic,reality tv,wedding & romances,yes,yes,
Once Upon a Time,exciting,fantasy tv,drama,no,yes,
The Perks of Being a Wallflower,heartfelt,dramedy,hidden gem,no,yes,
The Invention of Lying,irreverent,romantic,comedy,no,yes,
Parks & Recreation,witty,quirky,goofy,no,yes,
Merlin,exciting,suspenseful,fantasy tv,no,yes,
Royal Pains,dramedy,comedy,drama,no,yes,
Love Wedding Repeat,heartfelt,witty,romantic,yes,yes,
The Circle,scandalous,soapy,reality tv,yes,yes,
Community,witty,irreverent,sitcom,no,yes,
The Great British Baking Show,relaxing,feel-good,reality tv,yes,yes,
Altered Carbon,mind-bending,dystopian,violent,yes,yes,
Code 8,dystopian,gritty,exciting,no,yes,
Outer Banks,soapy,exciting,teen,yes,yes,
Brews Brothers,raunchy,irreverent,sitcom,yes,yes,
Nailed It!,quirky,reality tv,competition,yes,yes,
#blackAF,slick,witty,irreverent,yes,no,
Boss Baby Back in Business,exciting,comedy,kids,yes,no,
On My Block,witty,emotional,romantic,yes,no,
The Office,witty,irreverent,sitcom,no,no,
Stranger Things,ominous,scary,exciting,yes,no,
The Secret Life of Pets 2,goofy,children & family,comedy,no,no,
The Vampire Diaries,ominous,suspenseful,fantasy tv,no,no,
Criminal Minds,forceful,dark,suspenseful,no,no,
Miracle in Cell No. 7,rousing,emotional,social issue drama,no,no,
Spenser Confidential,forceful,exciting,film noir,yes,no,
Miraculous Tales of Ladybug & Cat Noir,exciting,superhero,kids,no,no,
Breaking Bad,violent,slow burn,gritty,no,no,
Elite,soapy,slow burn,suspenseful,yes,no,
The Flash,slick,exciting,superhero,no,no,
Fuller House,heartfelt,sitcom,comedy,yes,no,
Schitt's Creek,witty,irreverent,sitcom,no,no,
Victorious,feel-good,sitcom,comedy,no,no,
The King: Eternal Monarch,emotional,romantic,fantasy tv,yes,no,
Too Hot to Handle,scandalous,soapy,intimate,yes,no,
The Witcher,lavish,exciting,fantasy tv,yes,no,
The 100,dystopian,violent,sci-fi tv,no,no,
Locked Up,violent,slow burn,gritty,yes,no,
Crash Landing On You,heartfelt,romantic,dramedy,yes,no,
6 Underground,slick,exciting,action thriller,yes,no,
The Seven Deadly Sins,exciting,fantasy anime,action anime,yes,no,
Bunk'd,goofy,sitcom,comedy,no,no,
The Angry Birds Movie 2,children & family,comedy,animals,no,no,
Naruto,goofy,exciting,fantasy anime,no,no,
The Crown,lavish,intimate,drama,yes,no,
Angel has Fallen,violent,forceful,exciting,no,no,
Grace and Frankie,heartfelt,witty,quirky,yes,no,
Itaewon Class,inspiring,emotional,drama,yes,no,
"Hi Bye, Mama!",heartfelt,emotional,romantic,yes,no,
El señor de los Cielos,soapy,telenovela,soap opera,no,no,
Sex Education,heartfelt,raunchy,irreverent,yes,no,
Sacred Games,slow burn,gritty,dark,yes,no,
Hospital Playlist,heartfelt,dramedy,comedy,yes,no,
Riverdale,offbeat,emotional,dark,no,no,
Kingdom,gruesome,violent,exciting,yes,no,
"Pablo Escobar, el patrón del mal",soapy,gritty,telenovela,no,no,
