"word","n"
"exciting",36
"irreverent",24
"witty",18
"forceful",17
"heartfelt",17
"emotional",15
"gritty",15
"romantic",15
"comedy",13
"feel-good",13
"goofy",12
"sitcom",11
"slick",11
"suspenseful",11
"dark",10
